Ordem Carga,Logística Ent.,CNPJ,Nº Nota,Cliente,Cidade.,U.F,Vlr. Nota,Dt. Conf.,Faturamento,Data Chegada Opl.,Data Agendamento,Obs. Logística,Entrega,Nu Ped. Cliente,Transportadora,Prev. Agenda Venda,Devolvido,Devolução Pend.,Canhoto,Vend,Data Canhoto,TipoEntrega,LeadTime,Nº Nota Dev,Agendado Para,Confirmado,E-mail enviado ao OPL,Tem Antecipação?,Fase do Agendamento,Pedido de Antecipação,Antecipado,Operador Logístico
2570.0,CARRARO ARMAZENS GERAIS LTDA,76430438015012.0,8972.0,IRMAOS MUFFATO S.A,FOZ DO IGUAÇU,PR,10214.43,26/06/2026 21:16:24,2026-06-30,,08/07/2026 00:00:00,Entregue. Pendente canhoto.,2026-07-08,4508474736.0,CARRARO ARMAZENS GERAIS LTDA,,,,,VEND.MARIA,,Operador Logístico,12.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2570.0,CARRARO ARMAZENS GERAIS LTDA,76430438015012.0,8971.0,IRMAOS MUFFATO S.A,FOZ DO IGUAÇU,PR,9232.66,26/06/2026 21:16:36,2026-06-30,,08/07/2026 00:00:00,Entregue. Pendente canhoto.,2026-07-08,4508454199.0,CARRARO ARMAZENS GERAIS LTDA,,,,,VEND.MARIA,,Operador Logístico,12.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2588.0,CARRARO ARMAZENS GERAIS LTDA,3644587001565.0,8939.0,SANCHES E VECCHIATE LTDA - BOX ATAC,FAXINAL,PR,2369.27,30/06/2026 16:38:16,2026-06-30,,09/07/2026 00:00:00,,,2431005080.0,CARRARO ARMAZENS GERAIS LTDA,,,,,VEND.MARIA,,Operador Logístico,13.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2569.0,CARRARO ARMAZENS GERAIS LTDA,76430438003782.0,8960.0,MUFFATO -  LONDRINA - LOJA 37,LONDRINA,PR,7528.4,26/06/2026 11:09:49,2026-06-30,,09/07/2026 00:00:00,,,4508440522.0,CARRARO ARMAZENS GERAIS LTDA,,,,,VEND.MARIA,,Operador Logístico,17.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2569.0,CARRARO ARMAZENS GERAIS LTDA,76430438003782.0,8950.0,MUFFATO -  LONDRINA - LOJA 37,LONDRINA,PR,4907.09,26/06/2026 21:16:39,2026-06-30,,09/07/2026 00:00:00,,,4508454196.0,CARRARO ARMAZENS GERAIS LTDA,,,,,VEND.MARIA,,Operador Logístico,17.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2571.0,CARRARO ARMAZENS GERAIS LTDA,76430438005726.0,8984.0,MUFFATO E CIA LTDA-CASCAVEL LOJA 57,CASCAVEL,PR,11451.75,26/06/2026 17:19:11,2026-06-30,,09/07/2026 00:00:00,Entregue. Pendente canhoto.,2026-07-10,4508453955.0,CARRARO ARMAZENS GERAIS LTDA,,,,,VEND.MARIA,,Operador Logístico,14.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2569.0,CARRARO ARMAZENS GERAIS LTDA,75315333017184.0,8962.0,ATACADAO -LONDRINA- BAIRRO IDEAL,LONDRINA,PR,22139.77,25/06/2026 10:36:18,2026-06-30,,10/07/2026 00:00:00,Atualizado 08/07,,215235.0,CARRARO ARMAZENS GERAIS LTDA,,,,,REP. PAULO CESAR,,Operador Logístico,18.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2571.0,CARRARO ARMAZENS GERAIS LTDA,76430438005726.0,8980.0,MUFFATO E CIA LTDA-CASCAVEL LOJA 57,CASCAVEL,PR,7396.49,27/06/2026 08:30:38,2026-06-30,,10/07/2026 00:00:00,Entregue. Pendente canhoto.,2026-07-10,4508474736.0,CARRARO ARMAZENS GERAIS LTDA,,,,,VEND.MARIA,,Operador Logístico,13.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2570.0,CARRARO ARMAZENS GERAIS LTDA,75315333017850.0,8974.0,ATACADAO FOZ DO IGUACU-NELSON DA CUNHA,FOZ DO IGUAÇU,PR,24914.55,25/06/2026 10:36:01,2026-06-30,,10/07/2026 00:00:00,Entregue. Pendente canhoto.,2026-07-10,215237.0,CARRARO ARMAZENS GERAIS LTDA,,,,,REP. PAULO CESAR,,Operador Logístico,15.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
2574.0,CARRARO ARMAZENS GERAIS LTDA,76430438009209.0,8899.0,MUFFATO - PONTA GROSSA - LOJA 92,PONTA GROSSA,PR,7070.15,26/06/2026 16:40:49,2026-06-30,,13/07/2026 00:00:00,,,4508454546.0,CARRARO ARMAZENS GERAIS LTDA,,,,,VEND.MARIA,,Operador Logístico,17.0,,,Pendente,False,,Pendente,,False,CARRARO ARMAZENS GERAIS LTDA
